OP,A1,A2,A3,A4,A5
+,1032,28540,13931,21715,37873
+,23830,28462,39470,2638,43580
+,21327,42301,3612,20399,31803
-,32050,0,0,0,0
+,36464,48374,40533,46310,33230
+,28468,20073,47566,21680,32588
-,801,0,0,0,0
-,23202,0,0,0,0
-,20583,0,0,0,0
-,6894,0,0,0,0
-,21120,0,0,0,0
-,34575,0,0,0,0
-,12895,0,0,0,0
+,22188,9243,14450,23382,10550
-,17222,0,0,0,0
+,33834,14948,39644,43275,19263
-,28990,0,0,0,0
-,21003,0,0,0,0
+,39825,4697,15540,4916,49708
-,222,0,0,0,0
+,48260,43320,41487,36744,11838
-,21201,0,0,0,0
+,29150,3759,28144,2067,10165
+,21911,10963,14412,14485,18570
+,28649,42589,29883,40043,49111
-,30295,0,0,0,0
-,14140,0,0,0,0
-,33021,0,0,0,0
+,13624,17840,41138,2116,49249
+,43102,41629,22450,30781,15057
-,6429,0,0,0,0
+,13650,49442,4608,22574,18020
+,42687,11799,49599,38599,34428
+,47788,7539,7856,15549,8753
+,30365,7804,34616,11700,756
+,42058,48716,27231,36809,4108
+,25246,23212,27367,25948,5742
-,18403,0,0,0,0
+,27941,21473,32818,30369,31150
+,43453,8465,30061,2889,34739
+,6005,44172,25318,35150,18875
+,31795,5946,45071,13680,16190
+,4285,18939,16170,8872,47921
+,31308,49275,6782,22034,6739
-,3147,0,0,0,0
-,5154,0,0,0,0
+,37363,4487,4819,37201,9409
+,9055,34978,27421,38963,20245
-,25306,0,0,0,0
-,10078,0,0,0,0
-,9190,0,0,0,0
+,20767,39778,46472,39792,48455
+,15332,34118,41322,14007,49548
-,6618,0,0,0,0
+,49168,27648,3715,7822,7609
-,10639,0,0,0,0
+,9687,25157,35395,17334,3899
-,28972,0,0,0,0
-,21161,0,0,0,0
-,291,0,0,0,0
-,158,0,0,0,0
-,26919,0,0,0,0
-,4900,0,0,0,0
+,44398,48232,15183,5391,44304
-,1723,0,0,0,0
-,27987,0,0,0,0
-,15225,0,0,0,0
+,26379,29446,24026,48583,35361
-,19664,0,0,0,0
+,34211,34550,31314,16340,38332
+,26529,46597,37438,30083,39959
-,19910,0,0,0,0
+,26758,39852,5178,33876,6066
-,31104,0,0,0,0
+,13636,37231,31911,47742,10265
+,40096,15054,1668,10506,42530
+,42411,16895,13706,33840,25540
-,10601,0,0,0,0
+,46882,32457,39369,4929,19735
-,5901,0,0,0,0
-,20164,0,0,0,0
+,17117,10622,41162,48278,38025
-,26486,0,0,0,0
+,44889,8188,43255,9641,35620
-,10359,0,0,0,0
+,22553,45789,11616,8807,34916
-,3109,0,0,0,0
+,3231,26363,6564,20556,36469
-,15318,0,0,0,0
-,32817,0,0,0,0
-,6579,0,0,0,0
+,36401,25553,4583,1296,15363
+,39857,11981,27660,32483,48383
+,28641,36519,46168,7753,47313
+,1172,25232,43565,20048,41185
+,10642,18880,32520,21484,44151
-,24835,0,0,0,0
+,44610,29530,10942,20736,33043
+,15607,6557,10365,12833,22688
+,41276,1170,26050,34006,14998
+,32292,28741,19137,26250,46131
+,48309,15336,16461,27864,26197
-,20638,0,0,0,0
-,12029,0,0,0,0
+,38911,49091,33746,35062,13899
-,11461,0,0,0,0
+,30037,8533,22518,1788,39078
-,29336,0,0,0,0
-,10583,0,0,0,0
+,29444,5516,44476,44439,22092
+,20741,42972,364,22578,26031
+,23207,5110,24714,29423,21465
+,27488,41161,35265,12521,37496
+,3549,6227,46208,10196,49603
-,6243,0,0,0,0
-,17000,0,0,0,0
-,19393,0,0,0,0
-,34106,0,0,0,0
+,32576,47640,582,47137,6530
-,15701,0,0,0,0
+,32785,44977,41988,10251,28315
-,18498,0,0,0,0
+,42708,24295,45010,27417,27403
-,20335,0,0,0,0
+,29581,9410,22235,17290,9837
+,45622,16746,5167,23816,18197
-,15001,0,0,0,0
+,25485,33447,41754,30058,3756
-,14411,0,0,0,0
+,22264,2230,20137,24299,16690
+,19843,35439,28997,31665,48144
+,35566,9547,5353,49885,29057
+,23737,25157,12360,4278,43665
-,8836,0,0,0,0
+,43384,30581,2270,32472,42239
+,9732,4403,15675,2289,17265
+,24782,23236,20499,35148,38531
+,21855,1140,32305,10375,19933
-,24113,0,0,0,0
+,26347,47645,1292,29993,49280
+,38183,10963,4940,47981,5948
-,29722,0,0,0,0
+,25506,919,23479,22355,35867
-,21692,0,0,0,0
-,34801,0,0,0,0
+,45778,16658,7188,8930,20939
+,4270,39919,11267,22152,42242
-,31268,0,0,0,0
-,21884,0,0,0,0
+,44274,800,30440,45117,31078
-,5589,0,0,0,0
+,2976,45651,2879,2188,45537
+,5100,44713,33171,44335,28039
-,5949,0,0,0,0
+,9308,43605,8282,21402,30467
+,16487,3505,8847,46507,2093
-,1467,0,0,0,0
+,20274,6223,21836,10175,12847
+,41152,34500,22179,41310,26732
-,21277,0,0,0,0
-,24183,0,0,0,0
+,4357,1894,42238,19266,32959
+,31405,41972,45699,13776,430
-,19732,0,0,0,0
+,45162,49495,40838,7062,2500
-,23528,0,0,0,0
+,13356,36138,9291,48558,6996
-,28640,0,0,0,0
+,37194,17268,5746,24875,34211
+,25413,10722,43893,7792,21024
+,25307,41271,2597,16827,32033
-,12793,0,0,0,0
-,29924,0,0,0,0
+,20862,45566,10778,24736,35241
-,2552,0,0,0,0
+,10241,30291,13179,15078,36579
+,520,13150,31300,28052,12507
-,29897,0,0,0,0
+,39414,371,5149,22222,29150
-,25770,0,0,0,0
+,44548,5148,19298,45984,36557
+,29502,34789,6883,43144,5448
-,20911,0,0,0,0
-,6292,0,0,0,0
-,24566,0,0,0,0
+,13088,42703,5766,30161,25174
+,21903,7868,47552,33281,39624
+,23478,30009,23617,21262,38472
-,25067,0,0,0,0
-,10053,0,0,0,0
-,31610,0,0,0,0
+,35753,47152,19060,14211,23622
-,30711,0,0,0,0
-,31910,0,0,0,0
+,38009,24866,21509,49243,11006
-,15174,0,0,0,0
+,9342,36425,31097,9337,40609
+,35516,48724,47205,35943,17339
-,21862,0,0,0,0
-,32614,0,0,0,0
