OP,A1,A2,A3,A4,A5
+,20714,33449,1253,10753,28854
+,15682,18515,13500,31276,28316
+,6958,19560,44923,3140,195
+,3898,2984,5317,3122,22831
+,22638,7198,48620,38477,1077
+,23088,17309,23265,49995,32064
+,31576,33912,2880,7111,33099
+,25873,2958,48412,47006,19599
+,9168,37447,36224,17700,22345
+,7859,6993,37460,37958,36607
+,11586,26459,32408,19015,17996
+,33316,5604,6367,38271,1322
+,35015,21538,43680,21392,8853
+,49167,6272,42420,31948,3826
+,12980,42579,4537,23555,19992
+,7903,29320,44648,40893,18711
+,40685,6508,33164,25811,44977
+,43369,10311,37483,48545,1694
+,10527,33847,9255,18922,822
+,41048,21891,47273,38141,3454
+,28567,21158,26073,653,8893
+,12521,42885,44606,44130,4167
+,11480,15180,3617,10585,790
+,6380,1279,19405,153,24498
+,18850,9701,48979,12284,19769
+,48732,42894,10594,31251,1292
+,41498,48393,4144,8149,17614
+,8729,17381,17314,45472,33202
+,43132,5898,40388,14526,37041
+,12737,33465,18691,24435,47436
+,33679,39038,34345,18360,39071
+,29586,45113,9843,17852,7882
+,21436,31210,34938,10927,32318
+,4433,36042,40323,32161,31303
+,28716,32687,18019,32419,26385
+,6332,25626,11320,44614,3619
+,24953,10756,41732,32403,26163
+,46066,16182,25498,11121,12198
+,18025,48562,20850,13201,49619
+,43981,20785,33260,22441,37526
+,37116,4221,6720,18732,2575
+,43791,13161,26219,34509,30131
+,39800,8856,42389,45041,12321
+,6071,15740,44911,3772,42471
+,388,30597,22,33304,405
+,41269,12497,43783,6309,42954
+,37528,17040,2091,37498,37034
+,24558,11173,8510,44416,38816
+,39190,35497,39517,40520,7038
+,11836,19402,2944,44085,31001
+,819,37067,7897,1027,28653
+,32777,7430,21251,41752,31686
+,24850,33479,30496,2766,36171
+,25272,43241,25232,4826,46137
+,48125,4872,48803,9104,17588
+,22790,20236,44786,6852,36860
+,17225,30586,18692,3058,35648
+,10725,25947,37146,21542,21332
+,15906,3714,6582,47380,20127
+,33234,38094,32546,21430,47509
+,46061,12592,21686,25973,11307
+,11291,20813,10322,33363,32453
+,42775,8268,2904,1949,2028
+,27041,17878,4903,37533,41369
+,8090,14158,18509,28958,38361
+,46735,22685,1536,25159,5953
+,43705,7539,1840,7466,7498
+,3547,33719,37445,19006,34988
+,14585,26107,26644,12202,17145
+,23346,1971,28782,10357,29064
+,46717,38998,46147,37433,20354
+,26536,31251,43279,33568,30267
-,697,0,0,0,0
+,29165,435,970,28587,18559
+,1913,49816,10996,18450,40318
+,37181,39431,23063,10612,17517
+,33215,43266,44133,24224,1381
+,30345,6285,20173,35542,16203
+,24750,33471,26144,21143,16608
+,39094,23829,8018,23530,22218
+,960,23406,3144,10754,3237
+,23836,18264,45557,5812,17721
+,20712,43081,17236,24384,9993
