OP,A1,A2,A3,A4,A5
+,4384,9639,9131,3225,3346
+,9233,227,5226,984,3588
+,102,8215,3593,6053,4566
+,7337,680,2334,4867,3578
+,710,6653,1409,8732,6751
+,9065,9712,2670,455,8038
+,6550,1961,702,1015,230
+,7142,2672,5642,8721,5201
+,8975,7527,5951,568,4786
+,3751,4150,1867,7267,6953
+,5549,2547,2229,343,9550
+,5054,6414,725,8243,9573
+,4395,2293,7182,7935,8973
+,404,1951,4754,6103,1486
+,7508,6413,6828,9276,6979
+,6087,8080,4237,9427,7465
+,4153,108,3908,3163,8534
+,9820,485,8922,3653,8090
+,8805,8224,8851,3441,9376
+,7778,8205,2731,943,4881
+,9413,6653,380,4713,2675
+,7881,3047,1108,9677,2027
+,4007,9192,3153,645,2854
+,5670,6239,232,4747,8947
+,251,569,3087,6712,5733
+,6943,3531,7424,5887,9295
+,1121,6576,9780,5214,6543
+,2785,6675,6007,7126,311
+,1551,7586,3580,3910,5726
+,7951,4222,9953,1847,6302
+,6171,3338,8320,4567,498
+,3154,5034,4563,763,6193
+,2563,7479,9272,4877,7734
+,5464,6710,9055,8357,1453
+,2585,758,203,5079,7934
+,7233,438,7338,5687,105
+,8877,4827,2351,1597,1958
+,7475,3827,8656,4287,2830
+,1592,6258,2511,1020,3422
+,7867,1883,9433,8036,2941
+,6311,1283,2634,9139,8296
+,64,5496,5527,1794,8063
+,6270,6594,8729,504,5585
+,4232,9887,1292,1361,7749
+,2882,4539,8951,8346,804
+,3254,3825,8781,807,8608
+,4556,1831,3151,7028,1228
+,1868,3707,6625,6979,715
+,7455,6771,4575,6436,7130
+,6756,8557,10,8149,2973
+,4669,2540,3872,1195,8611
+,3916,9119,2539,2300,6966
+,9768,3399,9949,8925,5492
+,5509,8445,8293,6048,4941
+,8664,3044,1365,5927,9885
+,9579,6706,8800,7891,9942
+,7097,938,8594,578,5781
+,9808,8630,1550,7759,2369
+,3096,8508,9123,6775,894
+,4534,4051,5473,4214,7850
+,9471,3046,3495,9017,2414
+,2154,9124,5699,9814,3036
+,676,954,6365,3802,4770
+,473,6115,1072,1291,3704
+,4839,2914,3787,5198,7628
+,709,474,7602,4800,8892
+,9713,8624,9443,6362,1171
+,7795,1225,6912,2487,4125
+,7106,101,9702,1240,7510
+,6160,5585,7088,238,1243
+,2584,9596,4100,8027,5037
+,9782,4769,7501,1671,1258
+,8863,4292,9143,460,2508
+,3205,2631,3842,5394,1884
