OP,A1,A2,A3,A4,A5
+,19248,34260,1834,31756,25942
+,31505,7090,25493,26792,9286
+,13168,14107,435,16856,19754
+,3780,32461,5161,4441,11070
+,2057,16027,33214,23734,5187
+,18740,25177,20913,17460,34510
+,27712,715,31747,23962,20129
+,30560,23562,732,33312,10711
+,20806,25698,13450,2171,26609
+,28520,17550,30845,20296,14326
+,22358,10212,25337,34444,27555
+,17582,20664,941,22497,152
+,28471,13630,8866,8307,27023
+,18169,21931,30836,10342,26565
+,18053,11188,3384,3817,15883
+,23882,34262,31313,28634,28485
+,2375,34346,4490,11763,3039
+,2191,11169,24316,11107,2353
+,13583,14751,29128,27928,33387
+,19982,4962,9799,15250,15758
+,24691,34994,24922,16966,15887
+,22412,18706,23641,2501,24808
+,1990,25257,9535,12107,11309
+,25896,3370,25178,8532,31817
+,8894,21820,17064,26227,9965
+,33188,7903,15193,20352,7797
+,20933,27906,28364,29112,10776
+,2132,21433,31636,21717,22429
+,27419,10141,27658,19754,6503
+,16359,22230,4542,29675,14269
+,16203,22942,2981,3244,32806
+,28082,30589,27912,14705,26531
+,26384,7968,19881,8582,5606
+,16672,5540,4180,27999,33246
+,23472,3742,3944,9500,59
+,21375,12117,27652,18939,8471
+,4425,31943,22671,16196,6203
+,10072,42,31177,29270,13529
+,6979,34566,14607,18090,1182
+,30799,26991,2517,17998,4955
+,15512,11998,18896,8043,29056
+,28801,32203,23378,10657,33701
+,26590,27719,19430,5240,29206
+,8470,27662,464,32004,5597
+,13099,17631,12370,31300,12848
+,20217,9645,8240,21072,17935
+,4535,5598,22681,28368,2314
+,1257,9356,10027,20141,2307
+,12148,5239,23408,30980,3356
+,10689,6138,16238,30333,32204
+,8996,26452,4994,9975,29474
+,16863,3116,13190,21131,10062
+,16646,16156,30099,7364,18399
+,25805,33340,11164,19655,16716
+,32111,29943,636,18277,5904
+,30589,3348,8200,6662,6663
+,4997,5319,27681,13524,10935
+,32378,27833,27712,20554,34018
+,8851,30994,18149,20965,10820
+,2533,2870,21373,1423,1195
+,23081,9843,29849,21840,30539
+,27843,34363,13318,14692,2546
+,22419,1734,18101,7608,20023
+,3228,2769,5438,17687,25060
+,34580,26158,22850,31984,1083
+,28588,21913,26157,20579,18136
+,29330,4968,8255,6496,8245
+,11092,17636,23258,8164,10378
+,26874,32694,9061,17340,18859
+,5855,3947,24881,20049,32439
+,24689,5426,18234,25215,22874
+,28222,17011,23456,22856,25634
+,21874,2149,5346,3296,13419
+,4940,23990,22475,29219,24999
+,2193,13260,2077,29661,23797
+,29825,25810,4815,15948,34142
+,27334,26671,19436,32849,16594
+,22652,22966,11468,6031,1630
+,23382,23373,33315,16091,26352
+,16369,6385,3958,25251,14447
+,32748,25416,31651,4066,21486
+,28247,27194,6753,14508,17443
+,30318,22862,19748,14053,10160
+,21765,9818,13323,2992,31415
+,18596,1774,33617,6279,27700
+,31607,897,26630,30950,1530
+,13838,31617,22547,30178,803
+,23306,1302,13764,13854,30677
+,8189,25329,5626,33362,20377
+,12414,24200,33609,2465,434
+,32299,1037,12921,34205,819
+,18227,10018,6474,33659,16364
+,12290,22704,12465,4405,29645
+,14039,397,19810,6248,30163
+,21402,30913,3145,28403,22702
+,20182,12858,26607,21379,28716
+,29633,25280,34215,26150,715
+,2606,19115,16742,21043,18228
+,26008,33431,2079,9040,32507
+,8390,26239,12017,32526,31477
+,7794,15450,31874,28653,7994
+,19273,13291,28368,13119,24111
+,23783,26274,30164,31495,3238
+,21918,2204,23764,5573,2598
+,12252,24057,18728,25290,3573
+,1511,31309,9944,13093,33893
+,23036,25561,31405,2834,24946
+,24125,7860,9955,3392,2436
+,13561,2377,16448,9874,15276
+,24160,7350,19670,26589,34382
+,22073,32474,32085,21262,31093
+,22107,21624,11944,8200,20424
+,4213,7224,24169,32122,9236
+,18992,3380,29925,23378,19801
+,21651,12964,13075,22237,212
+,25427,10806,24257,4879,28507
+,23454,22872,20943,1431,11541
+,28364,2134,6937,29654,19250
+,26317,18760,25083,17120,22202
+,2352,34844,740,9526,25491
+,5435,23716,14658,17844,16303
+,4366,14848,27197,10863,12389
+,32557,6384,2677,10919,17646
+,8281,22254,21593,7364,22246
+,9555,12802,14945,31768,24330
+,11239,22872,32592,29492,34057
+,24427,15039,4695,31558,2461
+,25043,12916,12233,18020,34600
+,24688,18137,6149,34542,17683
+,14283,24641,12166,16367,23574
+,17418,23866,32509,7665,25439
+,22407,16717,27722,33649,8553
+,2689,20013,29063,18349,2565
+,11010,689,3889,9694,2959
+,12520,5679,14534,12563,4139
+,1394,32529,5276,21374,17305
+,28996,12356,10081,16167,14082
+,17878,9000,23651,18235,1093
+,16315,20754,26390,30037,6676
+,29187,24548,22378,9335,1660
+,9473,3213,1977,32969,25947
+,24187,10119,21338,3786,10058
